,Unnamed: 0,img,reference_cm,reference_pixel,diameter_h_pixel,diameter_v_pixel,diameter_h_cm,diameter_v_cm,diameter_mean_cm,diameter_std_cm
0,1.0,2.0,1.0,89.0,96.0,98.0,1.0786516853932584,1.101123595505618,1.0657223376133511,0.03588623385711568
1,2.0,3.0,1.0,90.0,99.0,102.0,1.1,1.1333333333333333,,
2,3.0,4.0,1.0,91.0,94.0,99.0,1.032967032967033,1.0879120879120878,,
3,4.0,5.0,1.0,96.6,101.0,98.0,1.0455486542443064,1.0144927536231885,,
4,5.0,6.0,1.0,96.6,108.0,105.0,1.1180124223602486,1.0869565217391306,,
5,6.0,7.0,1.0,97.9,106.0,103.0,1.0827374872318691,1.052093973442288,,
6,7.0,8.0,1.0,97.9,102.0,105.0,1.0418794688457609,1.0725229826353422,,
7,8.0,9.0,1.0,99.0,101.0,99.0,1.02020202020202,1.0,,
8,9.0,10.0,1.0,96.8,106.0,99.0,1.0950413223140496,1.0227272727272727,,
9,10.0,11.0,0.5,50.1,105.0,103.0,1.0479041916167664,1.0279441117764472,,
10,11.0,12.0,1.0,96.2,101.0,105.0,1.04989604989605,1.0914760914760915,,
11,12.0,13.0,1.0,96.6,101.0,109.0,1.0455486542443064,1.1283643892339545,,
Mean,6.5,7.5,0.9583333333333334,91.47500000000001,101.66666666666667,102.08333333333333,1.0631990824429725,1.0682455927837295,,
std,3.452052529534663,3.452052529534663,0.13819269959814165,12.874660189690443,3.96512575112344,3.3778280332518738,0.0292182875067028,0.04255418020752856,,
