,transmitance_filename,RPM_filename,PDMS #,RPM,RPM_std,thickness (um),thickness_std,min_wavelength,max_wavelength,n_max
0,19-09-24_alpha_trans_PDMS_1.TRM,PDMS RPM 1.5.CSV,1,5523.750090442081,3.3705773483277386,8.900046636797553,0.07559254643159946,445,734,21
1,19-09-24_alpha_trans_PDMS_2.TRM,PDMS RPM 2.CSV,2,4358.358611391978,1.92296707359175,15.979959575190366,0.13572578722995488,444,735,38
2,19-09-24_alpha_trans_PDMS_3.TRM,PDMS RPM 3.CSV,3,3726.713825413873,1.8899683829480904,12.72993715836044,0.10812172171504027,443,728,30
3,19-09-24_alpha_trans_PDMS_4.TRM,PDMS RPM 4.CSV,4,3291.281087333719,1.5652570195639914,14.44885636005116,0.12272136201678231,444,730,34
4,19-09-24_alpha_trans_PDMS_5.TRM,PDMS RPM 5.CSV,5,2664.3173198482937,2.245456039230685,17.88667798085376,0.15192050007743252,444,729,42
5,19-09-24_alpha_trans_PDMS_6.TRM,PDMS RPM 6.CSV,6,2198.819589598894,1.707686613544977,21.463825748705354,0.18230300477308348,440,733,52
8,19-09-24_alpha_trans_PDMS_11.TRM,PDMS RPM 11.CSV,11,3490.404943893316,1.7605004955772037,16.066089290891945,0.13645732997338203,442,727,38
9,19-09-24_alpha_trans_PDMS_12.TRM,PDMS RPM 12.CSV,12,4043.136476185776,2.5686882215444475,13.935347447933408,0.11835987405313397,444,733,33
10,19-09-24_alpha_trans_PDMS_13.TRM,PDMS RPM 13.CSV,13,4779.609707534615,2.073610512418063,12.097977627968127,0.10275417342079199,445,725,28
11,19-09-24_alpha_trans_PDMS_14.TRM,PDMS RPM 14.CSV,14,5573.621811008959,2.23985989764314,10.368387545973498,0.08806389999680261,443,739,25
